"Original","Masked","Field","RowIndex"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","33"
"City of London Police","fLrvQqOIz9do","Reported by","34"
"City of London Police","fLrvQqOIz9do","Falls within","34"
"On or near Carthusian Street","G+rOE95B/ZLV","Location","34"
"City of London Police","fLrvQqOIz9do","Reported by","35"
"City of London Police","fLrvQqOIz9do","Falls within","35"
"On or near Amen Court","xiJytzLUzDN4","Location","35"
"City of London Police","fLrvQqOIz9do","Reported by","36"
"City of London Police","fLrvQqOIz9do","Falls within","36"
"On or near Amen Court","xiJytzLUzDN4","Location","36"
"City of London Police","fLrvQqOIz9do","Reported by","37"
"City of London Police","fLrvQqOIz9do","Falls within","37"
"On or near Lovat Lane","iIpKwhyoBdec","Location","37"
"City of London Police","fLrvQqOIz9do","Reported by","38"
"City of London Police","fLrvQqOIz9do","Falls within","38"
"On or near Further/Higher Educational Building","l62VXu45RNJ4","Location","38"
"City of London Police","fLrvQqOIz9do","Reported by","39"
"City of London Police","fLrvQqOIz9do","Falls within","39"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","39"
"City of London Police","fLrvQqOIz9do","Reported by","40"
"City of London Police","fLrvQqOIz9do","Falls within","40"
"On or near Fleet Street","bEFOpF4BRrVI","Location","40"
"City of London Police","fLrvQqOIz9do","Reported by","41"
"City of London Police","fLrvQqOIz9do","Falls within","41"
"On or near Bell Inn Yard","OfbZxRdt/52K","Location","41"
"City of London Police","fLrvQqOIz9do","Reported by","42"
"City of London Police","fLrvQqOIz9do","Falls within","42"
"On or near Bishopsgate","CH41hlAxajZp","Location","42"
"City of London Police","fLrvQqOIz9do","Reported by","43"
"City of London Police","fLrvQqOIz9do","Falls within","43"
"On or near Ferry Terminal","OsH1FFXoarRe","Location","43"
"City of London Police","fLrvQqOIz9do","Reported by","44"
"City of London Police","fLrvQqOIz9do","Falls within","44"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","44"
"City of London Police","fLrvQqOIz9do","Reported by","45"
"City of London Police","fLrvQqOIz9do","Falls within","45"
"No location","ToR5xtQyHv2n","Location","45"
"City of London Police","fLrvQqOIz9do","Reported by","46"
"City of London Police","fLrvQqOIz9do","Falls within","46"
"On or near Gravel Lane","6iwE88Ea6DNO","Location","46"
"City of London Police","fLrvQqOIz9do","Reported by","47"
"City of London Police","fLrvQqOIz9do","Falls within","47"
"On or near Lombard Street","6YZPZPnj3KKK","Location","47"
"City of London Police","fLrvQqOIz9do","Reported by","48"
"City of London Police","fLrvQqOIz9do","Falls within","48"
"On or near Lombard Street","6YZPZPnj3KKK","Location","48"
"City of London Police","fLrvQqOIz9do","Reported by","49"
"City of London Police","fLrvQqOIz9do","Falls within","49"
"On or near Bread Street","E5ZdBDiaeHVB","Location","49"
"City of London Police","fLrvQqOIz9do","Reported by","50"
"City of London Police","fLrvQqOIz9do","Falls within","50"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","50"
"City of London Police","fLrvQqOIz9do","Reported by","51"
"City of London Police","fLrvQqOIz9do","Falls within","51"
"On or near A201","j4PeMUhtWtkm","Location","51"
"City of London Police","fLrvQqOIz9do","Reported by","52"
"City of London Police","fLrvQqOIz9do","Falls within","52"
"On or near Eastcheap","5CMQagL2W7dM","Location","52"
"City of London Police","fLrvQqOIz9do","Reported by","53"
"City of London Police","fLrvQqOIz9do","Falls within","53"
"On or near St Botolph Street","3lbO3t/qlBv2","Location","53"
"City of London Police","fLrvQqOIz9do","Reported by","54"
"City of London Police","fLrvQqOIz9do","Falls within","54"
"On or near London Liverpool Street","wSjScPkT76e5","Location","54"
"City of London Police","fLrvQqOIz9do","Reported by","55"
"City of London Police","fLrvQqOIz9do","Falls within","55"
"On or near Bishopsgate","CH41hlAxajZp","Location","55"
