"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","164"
"City of London Police","fLrvQqOIz9do","Falls within","164"
"On or near New London Street","kIwi4X783cZ8","Location","164"
"City of London Police","fLrvQqOIz9do","Reported by","165"
"City of London Police","fLrvQqOIz9do","Falls within","165"
"On or near Daleview Road","gUvZJOQBFHjv","Location","165"
"City of London Police","fLrvQqOIz9do","Reported by","166"
"City of London Police","fLrvQqOIz9do","Falls within","166"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","166"
"City of London Police","fLrvQqOIz9do","Reported by","167"
"City of London Police","fLrvQqOIz9do","Falls within","167"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","167"
"City of London Police","fLrvQqOIz9do","Reported by","168"
"City of London Police","fLrvQqOIz9do","Falls within","168"
"On or near Lovat Lane","iIpKwhyoBdec","Location","168"
"City of London Police","fLrvQqOIz9do","Reported by","169"
"City of London Police","fLrvQqOIz9do","Falls within","169"
"On or near Alice Street","LYOjAzK/0K9e","Location","169"
"City of London Police","fLrvQqOIz9do","Reported by","170"
"City of London Police","fLrvQqOIz9do","Falls within","170"
"On or near Little Britain","tKTxQW6cnYQT","Location","170"
"City of London Police","fLrvQqOIz9do","Reported by","171"
"City of London Police","fLrvQqOIz9do","Falls within","171"
"On or near Little Britain","tKTxQW6cnYQT","Location","171"
"City of London Police","fLrvQqOIz9do","Reported by","172"
"City of London Police","fLrvQqOIz9do","Falls within","172"
"On or near St Clare Street","rxdkikB/nb/t","Location","172"
"City of London Police","fLrvQqOIz9do","Reported by","173"
"City of London Police","fLrvQqOIz9do","Falls within","173"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","173"
"City of London Police","fLrvQqOIz9do","Reported by","174"
"City of London Police","fLrvQqOIz9do","Falls within","174"
"On or near India Street","Ko7IzQHFPPRI","Location","174"
"City of London Police","fLrvQqOIz9do","Reported by","175"
"City of London Police","fLrvQqOIz9do","Falls within","175"
"On or near Moorgate","jLx3Ie2n+1jk","Location","175"
"City of London Police","fLrvQqOIz9do","Reported by","176"
"City of London Police","fLrvQqOIz9do","Falls within","176"
"On or near India Street","Ko7IzQHFPPRI","Location","176"
"City of London Police","fLrvQqOIz9do","Reported by","177"
"City of London Police","fLrvQqOIz9do","Falls within","177"
"On or near India Street","Ko7IzQHFPPRI","Location","177"
"City of London Police","fLrvQqOIz9do","Reported by","178"
"City of London Police","fLrvQqOIz9do","Falls within","178"
"On or near Carlisle Avenue","awEUhKP9QDMb","Location","178"
"City of London Police","fLrvQqOIz9do","Reported by","179"
"City of London Police","fLrvQqOIz9do","Falls within","179"
"On or near Muscovy Street","1LoruBLh+EWY","Location","179"
"City of London Police","fLrvQqOIz9do","Reported by","180"
"City of London Police","fLrvQqOIz9do","Falls within","180"
"On or near Moor Lane","+njjHy9WmmYk","Location","180"
"City of London Police","fLrvQqOIz9do","Reported by","181"
"City of London Police","fLrvQqOIz9do","Falls within","181"
"On or near Middle Temple Lane","uwu8uC1bz41M","Location","181"
"City of London Police","fLrvQqOIz9do","Reported by","182"
"City of London Police","fLrvQqOIz9do","Falls within","182"
"On or near Moor Lane","+njjHy9WmmYk","Location","182"
"City of London Police","fLrvQqOIz9do","Reported by","183"
"City of London Police","fLrvQqOIz9do","Falls within","183"
"On or near Kingscote Street","CxC6tFREXULb","Location","183"
"City of London Police","fLrvQqOIz9do","Reported by","184"
"City of London Police","fLrvQqOIz9do","Falls within","184"
"On or near Kingscote Street","CxC6tFREXULb","Location","184"
"City of London Police","fLrvQqOIz9do","Reported by","185"
"City of London Police","fLrvQqOIz9do","Falls within","185"
"On or near India Street","Ko7IzQHFPPRI","Location","185"
"City of London Police","fLrvQqOIz9do","Reported by","186"
"City of London Police","fLrvQqOIz9do","Falls within","186"
"On or near Giltspur Street","phyFp9i5uImP","Location","186"
"City of London Police","fLrvQqOIz9do","Reported by","187"
"City of London Police","fLrvQqOIz9do","Falls within","187"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","187"
"City of London Police","fLrvQqOIz9do","Reported by","188"
"City of London Police","fLrvQqOIz9do","Falls within","188"
"On or near Giltspur Street","phyFp9i5uImP","Location","188"
"City of London Police","fLrvQqOIz9do","Reported by","189"
"City of London Police","fLrvQqOIz9do","Falls within","189"
"On or near India Street","Ko7IzQHFPPRI","Location","189"
"City of London Police","fLrvQqOIz9do","Reported by","190"
"City of London Police","fLrvQqOIz9do","Falls within","190"
"On or near New London Street","kIwi4X783cZ8","Location","190"
"City of London Police","fLrvQqOIz9do","Reported by","191"
"City of London Police","fLrvQqOIz9do","Falls within","191"
"On or near A201","j4PeMUhtWtkm","Location","191"
"City of London Police","fLrvQqOIz9do","Reported by","192"
"City of London Police","fLrvQqOIz9do","Falls within","192"
"On or near New London Street","kIwi4X783cZ8","Location","192"
"City of London Police","fLrvQqOIz9do","Reported by","193"
"City of London Police","fLrvQqOIz9do","Falls within","193"
"On or near Martin Lane","6og4MamycvXx","Location","193"
"City of London Police","fLrvQqOIz9do","Reported by","194"
"City of London Police","fLrvQqOIz9do","Falls within","194"
"On or near Supermarket","R0V5P6N9Gx/1","Location","194"
"City of London Police","fLrvQqOIz9do","Reported by","195"
"City of London Police","fLrvQqOIz9do","Falls within","195"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","195"
"City of London Police","fLrvQqOIz9do","Reported by","196"
"City of London Police","fLrvQqOIz9do","Falls within","196"
"On or near Further/Higher Educational Building","l62VXu45RNJ4","Location","196"
"City of London Police","fLrvQqOIz9do","Reported by","197"
"City of London Police","fLrvQqOIz9do","Falls within","197"
"On or near Lower Thames Street","pWkSVZaLIeyE","Location","197"
"City of London Police","fLrvQqOIz9do","Reported by","198"
"City of London Police","fLrvQqOIz9do","Falls within","198"
"On or near Fann Street","B4cJzx8oLYwj","Location","198"
"City of London Police","fLrvQqOIz9do","Reported by","199"
"City of London Police","fLrvQqOIz9do","Falls within","199"
"On or near Supermarket","R0V5P6N9Gx/1","Location","199"
"City of London Police","fLrvQqOIz9do","Reported by","200"
"City of London Police","fLrvQqOIz9do","Falls within","200"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","200"
"City of London Police","fLrvQqOIz9do","Reported by","201"
"City of London Police","fLrvQqOIz9do","Falls within","201"
"On or near Middle Temple Lane","uwu8uC1bz41M","Location","201"
"City of London Police","fLrvQqOIz9do","Reported by","202"
"City of London Police","fLrvQqOIz9do","Falls within","202"
"On or near Shopping Area","fzK/HvsYVthT","Location","202"
"City of London Police","fLrvQqOIz9do","Reported by","203"
"City of London Police","fLrvQqOIz9do","Falls within","203"
"On or near Eastcheap","5CMQagL2W7dM","Location","203"
"City of London Police","fLrvQqOIz9do","Reported by","204"
"City of London Police","fLrvQqOIz9do","Falls within","204"
"On or near Dean's Court","dYbo8NX4Bz6M","Location","204"
"City of London Police","fLrvQqOIz9do","Reported by","205"
"City of London Police","fLrvQqOIz9do","Falls within","205"
"On or near Watling Street","1z7+/Jkq1rk1","Location","205"
"City of London Police","fLrvQqOIz9do","Reported by","206"
"City of London Police","fLrvQqOIz9do","Falls within","206"
"On or near India Street","Ko7IzQHFPPRI","Location","206"
"City of London Police","fLrvQqOIz9do","Reported by","207"
"City of London Police","fLrvQqOIz9do","Falls within","207"
"On or near India Street","Ko7IzQHFPPRI","Location","207"
"City of London Police","fLrvQqOIz9do","Reported by","208"
"City of London Police","fLrvQqOIz9do","Falls within","208"
"On or near Moor Lane","+njjHy9WmmYk","Location","208"
"City of London Police","fLrvQqOIz9do","Reported by","209"
"City of London Police","fLrvQqOIz9do","Falls within","209"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","209"
"City of London Police","fLrvQqOIz9do","Reported by","210"
"City of London Police","fLrvQqOIz9do","Falls within","210"
"On or near Chancery Lane","hF97FJOsX26Q","Location","210"
"City of London Police","fLrvQqOIz9do","Reported by","211"
"City of London Police","fLrvQqOIz9do","Falls within","211"
"On or near Lombard Street","6YZPZPnj3KKK","Location","211"
"City of London Police","fLrvQqOIz9do","Reported by","212"
"City of London Police","fLrvQqOIz9do","Falls within","212"
"On or near Trinity Square","gehNVcWzWOen","Location","212"
"City of London Police","fLrvQqOIz9do","Reported by","213"
"City of London Police","fLrvQqOIz9do","Falls within","213"
"On or near Conference/Exhibition Centre","crNzIDeKqBqO","Location","213"
"City of London Police","fLrvQqOIz9do","Reported by","214"
"City of London Police","fLrvQqOIz9do","Falls within","214"
"On or near Watling Street","1z7+/Jkq1rk1","Location","214"
"City of London Police","fLrvQqOIz9do","Reported by","215"
"City of London Police","fLrvQqOIz9do","Falls within","215"
"No location","ToR5xtQyHv2n","Location","215"
"City of London Police","fLrvQqOIz9do","Reported by","216"
"City of London Police","fLrvQqOIz9do","Falls within","216"
"On or near India Street","Ko7IzQHFPPRI","Location","216"
"City of London Police","fLrvQqOIz9do","Reported by","217"
"City of London Police","fLrvQqOIz9do","Falls within","217"
"On or near Dean's Court","dYbo8NX4Bz6M","Location","217"
"City of London Police","fLrvQqOIz9do","Reported by","218"
"City of London Police","fLrvQqOIz9do","Falls within","218"
"On or near Moor Lane","+njjHy9WmmYk","Location","218"
"City of London Police","fLrvQqOIz9do","Reported by","219"
"City of London Police","fLrvQqOIz9do","Falls within","219"
"On or near Lower Thames Street","pWkSVZaLIeyE","Location","219"
"City of London Police","fLrvQqOIz9do","Reported by","220"
"City of London Police","fLrvQqOIz9do","Falls within","220"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","220"
"City of London Police","fLrvQqOIz9do","Reported by","221"
"City of London Police","fLrvQqOIz9do","Falls within","221"
"On or near Lovat Lane","iIpKwhyoBdec","Location","221"
"City of London Police","fLrvQqOIz9do","Reported by","222"
"City of London Police","fLrvQqOIz9do","Falls within","222"
"On or near Lovat Lane","iIpKwhyoBdec","Location","222"
"City of London Police","fLrvQqOIz9do","Reported by","223"
"City of London Police","fLrvQqOIz9do","Falls within","223"
"On or near Friday Street","Ko6fYxJRo7IA","Location","223"
"City of London Police","fLrvQqOIz9do","Reported by","224"
"City of London Police","fLrvQqOIz9do","Falls within","224"
"On or near Crutched Friars","Xx1u9dOHmIgj","Location","224"
"City of London Police","fLrvQqOIz9do","Reported by","225"
"City of London Police","fLrvQqOIz9do","Falls within","225"
"On or near Further/Higher Educational Building","l62VXu45RNJ4","Location","225"
"City of London Police","fLrvQqOIz9do","Reported by","226"
"City of London Police","fLrvQqOIz9do","Falls within","226"
"No location","ToR5xtQyHv2n","Location","226"
"City of London Police","fLrvQqOIz9do","Reported by","227"
"City of London Police","fLrvQqOIz9do","Falls within","227"
"On or near London Wall","G9vZvMLqOLrW","Location","227"
"City of London Police","fLrvQqOIz9do","Reported by","228"
"City of London Police","fLrvQqOIz9do","Falls within","228"
"On or near Gophir Lane","kY268mUJnkJG","Location","228"
"City of London Police","fLrvQqOIz9do","Reported by","229"
"City of London Police","fLrvQqOIz9do","Falls within","229"
"On or near Gophir Lane","kY268mUJnkJG","Location","229"
"City of London Police","fLrvQqOIz9do","Reported by","230"
"City of London Police","fLrvQqOIz9do","Falls within","230"
"On or near Gophir Lane","kY268mUJnkJG","Location","230"
"City of London Police","fLrvQqOIz9do","Reported by","231"
"City of London Police","fLrvQqOIz9do","Falls within","231"
"On or near Bell Inn Yard","OfbZxRdt/52K","Location","231"
"City of London Police","fLrvQqOIz9do","Reported by","232"
"City of London Police","fLrvQqOIz9do","Falls within","232"
"On or near Moor Lane","+njjHy9WmmYk","Location","232"
"City of London Police","fLrvQqOIz9do","Reported by","233"
"City of London Police","fLrvQqOIz9do","Falls within","233"
"On or near India Street","Ko7IzQHFPPRI","Location","233"
"City of London Police","fLrvQqOIz9do","Reported by","234"
"City of London Police","fLrvQqOIz9do","Falls within","234"
"On or near Supermarket","R0V5P6N9Gx/1","Location","234"
"City of London Police","fLrvQqOIz9do","Reported by","235"
"City of London Police","fLrvQqOIz9do","Falls within","235"
"On or near Sports/Recreation Area","RB79V4fXrlFh","Location","235"
"City of London Police","fLrvQqOIz9do","Reported by","236"
"City of London Police","fLrvQqOIz9do","Falls within","236"
"On or near Furnival Street","oTv0YYMhJMAE","Location","236"
"City of London Police","fLrvQqOIz9do","Reported by","237"
"City of London Police","fLrvQqOIz9do","Falls within","237"
"No location","ToR5xtQyHv2n","Location","237"
"City of London Police","fLrvQqOIz9do","Reported by","238"
"City of London Police","fLrvQqOIz9do","Falls within","238"
"On or near Amen Corner","05L1EHupv/A9","Location","238"
"City of London Police","fLrvQqOIz9do","Reported by","239"
"City of London Police","fLrvQqOIz9do","Falls within","239"
"On or near Shopping Area","fzK/HvsYVthT","Location","239"
"City of London Police","fLrvQqOIz9do","Reported by","240"
"City of London Police","fLrvQqOIz9do","Falls within","240"
"On or near Brackley Street","i+BirA7zgwLv","Location","240"
"City of London Police","fLrvQqOIz9do","Reported by","241"
"City of London Police","fLrvQqOIz9do","Falls within","241"
"On or near Friday Street","Ko6fYxJRo7IA","Location","241"
"City of London Police","fLrvQqOIz9do","Reported by","242"
"City of London Police","fLrvQqOIz9do","Falls within","242"
"On or near Friday Street","Ko6fYxJRo7IA","Location","242"
"City of London Police","fLrvQqOIz9do","Reported by","243"
"City of London Police","fLrvQqOIz9do","Falls within","243"
"On or near New Street","AQJUM6v79PO+","Location","243"
"City of London Police","fLrvQqOIz9do","Reported by","244"
"City of London Police","fLrvQqOIz9do","Falls within","244"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","244"
"City of London Police","fLrvQqOIz9do","Reported by","245"
"City of London Police","fLrvQqOIz9do","Falls within","245"
"On or near Parking Area","fYKCWrLNHNL/","Location","245"
"City of London Police","fLrvQqOIz9do","Reported by","246"
"City of London Police","fLrvQqOIz9do","Falls within","246"
"On or near Corbet Court","2eP832Hq9waE","Location","246"
"City of London Police","fLrvQqOIz9do","Reported by","247"
"City of London Police","fLrvQqOIz9do","Falls within","247"
"On or near Liverpool Street","MlZHXg61uPKd","Location","247"
"City of London Police","fLrvQqOIz9do","Reported by","248"
"City of London Police","fLrvQqOIz9do","Falls within","248"
"On or near Police Station","p4DsdPMvBuWJ","Location","248"
"City of London Police","fLrvQqOIz9do","Reported by","249"
"City of London Police","fLrvQqOIz9do","Falls within","249"
"No location","ToR5xtQyHv2n","Location","249"
"City of London Police","fLrvQqOIz9do","Reported by","250"
"City of London Police","fLrvQqOIz9do","Falls within","250"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","250"
"City of London Police","fLrvQqOIz9do","Reported by","251"
"City of London Police","fLrvQqOIz9do","Falls within","251"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","251"
"City of London Police","fLrvQqOIz9do","Reported by","252"
"City of London Police","fLrvQqOIz9do","Falls within","252"
"On or near Gophir Lane","kY268mUJnkJG","Location","252"
"City of London Police","fLrvQqOIz9do","Reported by","253"
"City of London Police","fLrvQqOIz9do","Falls within","253"
"On or near Shopping Area","fzK/HvsYVthT","Location","253"
"City of London Police","fLrvQqOIz9do","Reported by","254"
"City of London Police","fLrvQqOIz9do","Falls within","254"
"On or near Angel Lane","ol5E6DulF/gF","Location","254"
"City of London Police","fLrvQqOIz9do","Reported by","255"
"City of London Police","fLrvQqOIz9do","Falls within","255"
"On or near India Street","Ko7IzQHFPPRI","Location","255"
"City of London Police","fLrvQqOIz9do","Reported by","256"
"City of London Police","fLrvQqOIz9do","Falls within","256"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","256"
"City of London Police","fLrvQqOIz9do","Reported by","257"
"City of London Police","fLrvQqOIz9do","Falls within","257"
"On or near Talbot Court","l9RL4ah6siaK","Location","257"
"City of London Police","fLrvQqOIz9do","Reported by","258"
"City of London Police","fLrvQqOIz9do","Falls within","258"
"On or near St Clare Street","rxdkikB/nb/t","Location","258"
"City of London Police","fLrvQqOIz9do","Reported by","259"
"City of London Police","fLrvQqOIz9do","Falls within","259"
"On or near Amen Corner","05L1EHupv/A9","Location","259"
"City of London Police","fLrvQqOIz9do","Reported by","260"
"City of London Police","fLrvQqOIz9do","Falls within","260"
"No location","ToR5xtQyHv2n","Location","260"
"City of London Police","fLrvQqOIz9do","Reported by","261"
"City of London Police","fLrvQqOIz9do","Falls within","261"
"On or near Great Tower Street","iB9VbCaLMFie","Location","261"
"City of London Police","fLrvQqOIz9do","Reported by","262"
"City of London Police","fLrvQqOIz9do","Falls within","262"
"On or near Moorgate","jLx3Ie2n+1jk","Location","262"
"City of London Police","fLrvQqOIz9do","Reported by","263"
"City of London Police","fLrvQqOIz9do","Falls within","263"
"On or near India Street","Ko7IzQHFPPRI","Location","263"
"City of London Police","fLrvQqOIz9do","Reported by","264"
"City of London Police","fLrvQqOIz9do","Falls within","264"
"On or near Bishopsgate","CH41hlAxajZp","Location","264"
"City of London Police","fLrvQqOIz9do","Reported by","265"
"City of London Police","fLrvQqOIz9do","Falls within","265"
"On or near Shopping Area","fzK/HvsYVthT","Location","265"
"City of London Police","fLrvQqOIz9do","Reported by","266"
"City of London Police","fLrvQqOIz9do","Falls within","266"
"On or near Shopping Area","fzK/HvsYVthT","Location","266"
"City of London Police","fLrvQqOIz9do","Reported by","267"
"City of London Police","fLrvQqOIz9do","Falls within","267"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","267"
"City of London Police","fLrvQqOIz9do","Reported by","268"
"City of London Police","fLrvQqOIz9do","Falls within","268"
"On or near Police Station","p4DsdPMvBuWJ","Location","268"
"City of London Police","fLrvQqOIz9do","Reported by","269"
"City of London Police","fLrvQqOIz9do","Falls within","269"
"On or near India Street","Ko7IzQHFPPRI","Location","269"
"City of London Police","fLrvQqOIz9do","Reported by","270"
"City of London Police","fLrvQqOIz9do","Falls within","270"
"On or near Conference/Exhibition Centre","crNzIDeKqBqO","Location","270"
"City of London Police","fLrvQqOIz9do","Reported by","271"
"City of London Police","fLrvQqOIz9do","Falls within","271"
"On or near Artillery Lane","rpGBkGFkIk2l","Location","271"
"City of London Police","fLrvQqOIz9do","Reported by","272"
"City of London Police","fLrvQqOIz9do","Falls within","272"
"On or near Talbot Court","l9RL4ah6siaK","Location","272"
"City of London Police","fLrvQqOIz9do","Reported by","273"
"City of London Police","fLrvQqOIz9do","Falls within","273"
"No location","ToR5xtQyHv2n","Location","273"
"City of London Police","fLrvQqOIz9do","Reported by","274"
"City of London Police","fLrvQqOIz9do","Falls within","274"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","274"
"City of London Police","fLrvQqOIz9do","Reported by","275"
"City of London Police","fLrvQqOIz9do","Falls within","275"
"On or near Fern Close","rycLD5rKZQ7O","Location","275"
"City of London Police","fLrvQqOIz9do","Reported by","276"
"City of London Police","fLrvQqOIz9do","Falls within","276"
"On or near Bevis Marks","MAh40gPkTxbm","Location","276"
"City of London Police","fLrvQqOIz9do","Reported by","277"
"City of London Police","fLrvQqOIz9do","Falls within","277"
"On or near Cousin Lane","7Wva9uD4pzXq","Location","277"
"City of London Police","fLrvQqOIz9do","Reported by","278"
"City of London Police","fLrvQqOIz9do","Falls within","278"
"No location","ToR5xtQyHv2n","Location","278"
"City of London Police","fLrvQqOIz9do","Reported by","279"
"City of London Police","fLrvQqOIz9do","Falls within","279"
"On or near Circus Place","MoKITRuLqSzo","Location","279"
"City of London Police","fLrvQqOIz9do","Reported by","280"
"City of London Police","fLrvQqOIz9do","Falls within","280"
"On or near Martin Lane","6og4MamycvXx","Location","280"
"City of London Police","fLrvQqOIz9do","Reported by","281"
"City of London Police","fLrvQqOIz9do","Falls within","281"
"On or near Wormwood Street","svK7BnUtYe+Q","Location","281"
"City of London Police","fLrvQqOIz9do","Reported by","282"
"City of London Police","fLrvQqOIz9do","Falls within","282"
"On or near India Street","Ko7IzQHFPPRI","Location","282"
"City of London Police","fLrvQqOIz9do","Reported by","283"
"City of London Police","fLrvQqOIz9do","Falls within","283"
"On or near Caleb Street","4pf9rq5xZh30","Location","283"
"City of London Police","fLrvQqOIz9do","Reported by","284"
"City of London Police","fLrvQqOIz9do","Falls within","284"
"On or near Supermarket","R0V5P6N9Gx/1","Location","284"
"City of London Police","fLrvQqOIz9do","Reported by","285"
"City of London Police","fLrvQqOIz9do","Falls within","285"
"On or near Devonshire Square","/lkxhR4/cVMS","Location","285"
"City of London Police","fLrvQqOIz9do","Reported by","286"
"City of London Police","fLrvQqOIz9do","Falls within","286"
"On or near Bishopsgate","CH41hlAxajZp","Location","286"
"City of London Police","fLrvQqOIz9do","Reported by","287"
"City of London Police","fLrvQqOIz9do","Falls within","287"
"On or near Corbet Court","2eP832Hq9waE","Location","287"
"City of London Police","fLrvQqOIz9do","Reported by","288"
"City of London Police","fLrvQqOIz9do","Falls within","288"
"On or near Supermarket","R0V5P6N9Gx/1","Location","288"
"City of London Police","fLrvQqOIz9do","Reported by","289"
"City of London Police","fLrvQqOIz9do","Falls within","289"
"On or near Corbet Court","2eP832Hq9waE","Location","289"
"City of London Police","fLrvQqOIz9do","Reported by","290"
"City of London Police","fLrvQqOIz9do","Falls within","290"
"On or near Bell Inn Yard","OfbZxRdt/52K","Location","290"
"City of London Police","fLrvQqOIz9do","Reported by","291"
"City of London Police","fLrvQqOIz9do","Falls within","291"
"On or near New Street","AQJUM6v79PO+","Location","291"
"City of London Police","fLrvQqOIz9do","Reported by","292"
"City of London Police","fLrvQqOIz9do","Falls within","292"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","292"
"City of London Police","fLrvQqOIz9do","Reported by","293"
"City of London Police","fLrvQqOIz9do","Falls within","293"
"On or near London Cannon Street","Xfo3io9t7yaw","Location","293"
"City of London Police","fLrvQqOIz9do","Reported by","294"
"City of London Police","fLrvQqOIz9do","Falls within","294"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","294"
"City of London Police","fLrvQqOIz9do","Reported by","295"
"City of London Police","fLrvQqOIz9do","Falls within","295"
"On or near Dean's Court","dYbo8NX4Bz6M","Location","295"
"City of London Police","fLrvQqOIz9do","Reported by","296"
"City of London Police","fLrvQqOIz9do","Falls within","296"
"On or near Dean's Court","dYbo8NX4Bz6M","Location","296"
"City of London Police","fLrvQqOIz9do","Reported by","297"
"City of London Police","fLrvQqOIz9do","Falls within","297"
"On or near Milton Court","qTY2VvzIEWD8","Location","297"
"City of London Police","fLrvQqOIz9do","Reported by","298"
"City of London Police","fLrvQqOIz9do","Falls within","298"
"No location","ToR5xtQyHv2n","Location","298"
"City of London Police","fLrvQqOIz9do","Reported by","299"
"City of London Police","fLrvQqOIz9do","Falls within","299"
"On or near Shopping Area","fzK/HvsYVthT","Location","299"
"City of London Police","fLrvQqOIz9do","Reported by","300"
"City of London Police","fLrvQqOIz9do","Falls within","300"
"On or near Great Tower Street","iB9VbCaLMFie","Location","300"
"City of London Police","fLrvQqOIz9do","Reported by","301"
"City of London Police","fLrvQqOIz9do","Falls within","301"
"On or near Moorgate","jLx3Ie2n+1jk","Location","301"
"City of London Police","fLrvQqOIz9do","Reported by","302"
"City of London Police","fLrvQqOIz9do","Falls within","302"
"On or near Great Tower Street","iB9VbCaLMFie","Location","302"
"City of London Police","fLrvQqOIz9do","Reported by","303"
"City of London Police","fLrvQqOIz9do","Falls within","303"
"On or near Great Tower Street","iB9VbCaLMFie","Location","303"
"City of London Police","fLrvQqOIz9do","Reported by","304"
"City of London Police","fLrvQqOIz9do","Falls within","304"
"On or near Trinity Square","gehNVcWzWOen","Location","304"
"City of London Police","fLrvQqOIz9do","Reported by","305"
"City of London Police","fLrvQqOIz9do","Falls within","305"
"On or near India Street","Ko7IzQHFPPRI","Location","305"
"City of London Police","fLrvQqOIz9do","Reported by","306"
"City of London Police","fLrvQqOIz9do","Falls within","306"
"On or near Moor Lane","+njjHy9WmmYk","Location","306"
"City of London Police","fLrvQqOIz9do","Reported by","307"
"City of London Police","fLrvQqOIz9do","Falls within","307"
"On or near Moorgate","jLx3Ie2n+1jk","Location","307"
"City of London Police","fLrvQqOIz9do","Reported by","308"
"City of London Police","fLrvQqOIz9do","Falls within","308"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","308"
"City of London Police","fLrvQqOIz9do","Reported by","309"
"City of London Police","fLrvQqOIz9do","Falls within","309"
"On or near Police Station","p4DsdPMvBuWJ","Location","309"
"City of London Police","fLrvQqOIz9do","Reported by","310"
"City of London Police","fLrvQqOIz9do","Falls within","310"
"On or near Corbet Court","2eP832Hq9waE","Location","310"
"City of London Police","fLrvQqOIz9do","Reported by","311"
"City of London Police","fLrvQqOIz9do","Falls within","311"
"On or near Watling Street","1z7+/Jkq1rk1","Location","311"
"City of London Police","fLrvQqOIz9do","Reported by","312"
"City of London Police","fLrvQqOIz9do","Falls within","312"
"On or near Bell Wharf Lane","rWrQgl20+d7X","Location","312"
"City of London Police","fLrvQqOIz9do","Reported by","313"
"City of London Police","fLrvQqOIz9do","Falls within","313"
"On or near Muscovy Street","1LoruBLh+EWY","Location","313"
"City of London Police","fLrvQqOIz9do","Reported by","314"
"City of London Police","fLrvQqOIz9do","Falls within","314"
"On or near Finch Lane","cW1AWnntcpSD","Location","314"
"City of London Police","fLrvQqOIz9do","Reported by","315"
"City of London Police","fLrvQqOIz9do","Falls within","315"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","315"
"City of London Police","fLrvQqOIz9do","Reported by","316"
"City of London Police","fLrvQqOIz9do","Falls within","316"
"On or near Amen Court","xiJytzLUzDN4","Location","316"
"City of London Police","fLrvQqOIz9do","Reported by","317"
"City of London Police","fLrvQqOIz9do","Falls within","317"
"On or near Cloth Fair","y2jTDZgNMUj/","Location","317"
"City of London Police","fLrvQqOIz9do","Reported by","318"
"City of London Police","fLrvQqOIz9do","Falls within","318"
"On or near Gophir Lane","kY268mUJnkJG","Location","318"
"City of London Police","fLrvQqOIz9do","Reported by","319"
"City of London Police","fLrvQqOIz9do","Falls within","319"
"On or near Supermarket","R0V5P6N9Gx/1","Location","319"
"City of London Police","fLrvQqOIz9do","Reported by","320"
"City of London Police","fLrvQqOIz9do","Falls within","320"
"On or near Southampton Buildings","P77DQE5SDy64","Location","320"
"City of London Police","fLrvQqOIz9do","Reported by","321"
"City of London Police","fLrvQqOIz9do","Falls within","321"
"On or near Sandy's Row","+7gsdhu22odj","Location","321"
"City of London Police","fLrvQqOIz9do","Reported by","322"
"City of London Police","fLrvQqOIz9do","Falls within","322"
"On or near Mitre Street","f8HqdKkLjSPw","Location","322"
"City of London Police","fLrvQqOIz9do","Reported by","323"
"City of London Police","fLrvQqOIz9do","Falls within","323"
"On or near India Street","Ko7IzQHFPPRI","Location","323"
"City of London Police","fLrvQqOIz9do","Reported by","324"
"City of London Police","fLrvQqOIz9do","Falls within","324"
"On or near Wormwood Street","svK7BnUtYe+Q","Location","324"
"City of London Police","fLrvQqOIz9do","Reported by","325"
"City of London Police","fLrvQqOIz9do","Falls within","325"
"On or near Supermarket","R0V5P6N9Gx/1","Location","325"
"City of London Police","fLrvQqOIz9do","Reported by","326"
"City of London Police","fLrvQqOIz9do","Falls within","326"
"On or near Corbet Court","2eP832Hq9waE","Location","326"
"City of London Police","fLrvQqOIz9do","Reported by","327"
"City of London Police","fLrvQqOIz9do","Falls within","327"
"On or near Shopping Area","fzK/HvsYVthT","Location","327"
"City of London Police","fLrvQqOIz9do","Reported by","328"
"City of London Police","fLrvQqOIz9do","Falls within","328"
"On or near Great Tower Street","iB9VbCaLMFie","Location","328"
"City of London Police","fLrvQqOIz9do","Reported by","329"
"City of London Police","fLrvQqOIz9do","Falls within","329"
"On or near Shopping Area","fzK/HvsYVthT","Location","329"
"City of London Police","fLrvQqOIz9do","Reported by","330"
"City of London Police","fLrvQqOIz9do","Falls within","330"
"On or near Muscovy Street","1LoruBLh+EWY","Location","330"
"City of London Police","fLrvQqOIz9do","Reported by","331"
